dia;cantidad
1/01/2022;0
2/01/2022;0
3/01/2022;25
4/01/2022;3
5/01/2022;19
6/01/2022;15
7/01/2022;3
8/01/2022;0
9/01/2022;0
10/01/2022;30
11/01/2022;5
12/01/2022;12
13/01/2022;1
14/01/2022;20
15/01/2022;0
16/01/2022;0
17/01/2022;12
18/01/2022;2
19/01/2022;8
20/01/2022;19
21/01/2022;15
22/01/2022;0
23/01/2022;0
24/01/2022;15
25/01/2022;11
26/01/2022;6
27/01/2022;12
28/01/2022;20
29/01/2022;0
30/01/2022;0
31/01/2022;0
1/02/2022;9
2/02/2022;11
3/02/2022;21
4/02/2022;0
5/02/2022;0
6/02/2022;0
7/02/2022;15
8/02/2022;8
9/02/2022;17
10/02/2022;0
11/02/2022;0
12/02/2022;0
13/02/2022;0
14/02/2022;26
15/02/2022;17
16/02/2022;8
17/02/2022;6
18/02/2022;10
19/02/2022;0
20/02/2022;0
21/02/2022;9
22/02/2022;5
23/02/2022;7
24/02/2022;18
25/02/2022;22
26/02/2022;0
27/02/2022;0
28/02/2022;0
1/03/2022;10
2/03/2022;0
3/03/2022;0
4/03/2022;0
5/03/2022;0
6/03/2022;0
7/03/2022;30
8/03/2022;0
9/03/2022;5
10/03/2022;0
11/03/2022;9
12/03/2022;0
13/03/2022;0
14/03/2022;32
15/03/2022;16
16/03/2022;12
17/03/2022;5
18/03/2022;9
19/03/2022;0
20/03/2022;0
21/03/2022;0
22/03/2022;12
23/03/2022;0
24/03/2022;21
25/03/2022;15
26/03/2022;0
27/03/2022;0
28/03/2022;8
29/03/2022;9
30/03/2022;6
31/03/2022;19
1/04/2022;0
2/04/2022;0
3/04/2022;0
4/04/2022;10
5/04/2022;24
6/04/2022;6
7/04/2022;3
8/04/2022;19
9/04/2022;0
10/04/2022;0
11/04/2022;25
12/04/2022;2
13/04/2022;39
14/04/2022;0
15/04/2022;0
16/04/2022;0
17/04/2022;0
18/04/2022;32
19/04/2022;5
20/04/2022;25
21/04/2022;8
22/04/2022;17
23/04/2022;0
24/04/2022;0
25/04/2022;21
26/04/2022;3
27/04/2022;16
28/04/2022;8
29/04/2022;19
30/04/2022;0
1/05/2022;0
2/05/2022;40
3/05/2022;13
4/05/2022;0
5/05/2022;0
6/05/2022;8
7/05/2022;0
8/05/2022;0
9/05/2022;19
10/05/2022;13
11/05/2022;12
12/05/2022;8
13/05/2022;3
14/05/2022;0
15/05/2022;0
16/05/2022;44
17/05/2022;0
18/05/2022;19
19/05/2022;15
20/05/2022;11
21/05/2022;0
22/05/2022;0
23/05/2022;22
24/05/2022;15
25/05/2022;13
26/05/2022;10
27/05/2022;30
28/05/2022;0
29/05/2022;0
30/05/2022;0
31/05/2022;0
1/06/2022;31
2/06/2022;7
3/06/2022;5
4/06/2022;0
5/06/2022;0
6/06/2022;3
7/06/2022;5
8/06/2022;9
9/06/2022;0
10/06/2022;22
11/06/2022;0
12/06/2022;0
13/06/2022;1
14/06/2022;7
15/06/2022;46
16/06/2022;8
17/06/2022;11
18/06/2022;0
19/06/2022;0
20/06/2022;13
21/06/2022;25
22/06/2022;3
23/06/2022;9
24/06/2022;5
25/06/2022;0
26/06/2022;0
27/06/2022;3
28/06/2022;2
29/06/2022;0
30/06/2022;12
1/07/2022;18
2/07/2022;0
3/07/2022;0
4/07/2022;0
5/07/2022;0
6/07/2022;11
7/07/2022;6
8/07/2022;6
9/07/2022;0
10/07/2022;0
11/07/2022;0
12/07/2022;26
13/07/2022;0
14/07/2022;13
15/07/2022;52
16/07/2022;0
17/07/2022;0
18/07/2022;20
19/07/2022;0
20/07/2022;31
21/07/2022;0
22/07/2022;9
23/07/2022;0
24/07/2022;0
25/07/2022;0
26/07/2022;0
27/07/2022;0
28/07/2022;0
29/07/2022;0
30/07/2022;0
31/07/2022;0
1/08/2022;64
2/08/2022;9
3/08/2022;23
4/08/2022;6
5/08/2022;8
6/08/2022;0
7/08/2022;0
8/08/2022;6
9/08/2022;2
10/08/2022;4
11/08/2022;8
12/08/2022;6
13/08/2022;0
14/08/2022;0
15/08/2022;29
16/08/2022;11
17/08/2022;0
18/08/2022;0
19/08/2022;10
20/08/2022;0
21/08/2022;0
22/08/2022;0
23/08/2022;0
24/08/2022;9
25/08/2022;5
26/08/2022;8
27/08/2022;0
28/08/2022;0
29/08/2022;0
30/08/2022;0
31/08/2022;22
1/09/2022;29
2/09/2022;15
3/09/2022;0
4/09/2022;0
5/09/2022;9
6/09/2022;0
7/09/2022;0
8/09/2022;16
9/09/2022;9
10/09/2022;0
11/09/2022;0
12/09/2022;0
13/09/2022;4
14/09/2022;3
15/09/2022;52
16/09/2022;16
17/09/2022;0
18/09/2022;0
19/09/2022;15
20/09/2022;0
21/09/2022;31
22/09/2022;0
23/09/2022;0
24/09/2022;0
25/09/2022;0
26/09/2022;0
27/09/2022;0
28/09/2022;0
29/09/2022;9
30/09/2022;15
1/10/2022;0
2/10/2022;0
3/10/2022;7
4/10/2022;19
5/10/2022;0
6/10/2022;0
7/10/2022;15
8/10/2022;0
9/10/2022;0
10/10/2022;0
11/10/2022;39
12/10/2022;0
13/10/2022;0
14/10/2022;25
15/10/2022;0
16/10/2022;0
17/10/2022;17
18/10/2022;9
19/10/2022;15
20/10/2022;32
21/10/2022;0
22/10/2022;0
23/10/2022;0
24/10/2022;27
25/10/2022;0
26/10/2022;0
27/10/2022;0
28/10/2022;13
29/10/2022;0
30/10/2022;0
31/10/2022;0
1/11/2022;0
2/11/2022;0
3/11/2022;0
4/11/2022;29
5/11/2022;0
6/11/2022;0
7/11/2022;17
8/11/2022;9
9/11/2022;8
10/11/2022;6
11/11/2022;8
12/11/2022;0
13/11/2022;0
14/11/2022;0
15/11/2022;61
16/11/2022;15
17/11/2022;26
18/11/2022;9
19/11/2022;0
20/11/2022;0
21/11/2022;0
22/11/2022;8
23/11/2022;0
24/11/2022;0
25/11/2022;19
26/11/2022;0
27/11/2022;0
28/11/2022;0
29/11/2022;0
30/11/2022;0
1/12/2022;0
2/12/2022;0
3/12/2022;0
4/12/2022;0
5/12/2022;35
6/12/2022;0
7/12/2022;21
8/12/2022;0
9/12/2022;0
10/12/2022;0
11/12/2022;0
12/12/2022;9
13/12/2022;18
14/12/2022;7
15/12/2022;8
16/12/2022;0
17/12/2022;0
18/12/2022;0
19/12/2022;22
20/12/2022;43
21/12/2022;0
22/12/2022;17
23/12/2022;9
24/12/2022;0
25/12/2022;0
26/12/2022;0
27/12/2022;0
28/12/2022;16
29/12/2022;0
30/12/2022;2
31/12/2022;0
1/01/2023;0
2/01/2023;0
3/01/2023;61
4/01/2023;9
5/01/2023;22
6/01/2023;7
7/01/2023;0
8/01/2023;0
9/01/2023;13
10/01/2023;10
11/01/2023;21
12/01/2023;6
13/01/2023;17
14/01/2023;0
15/01/2023;0
16/01/2023;0
17/01/2023;9
18/01/2023;12
19/01/2023;41
20/01/2023;22
21/01/2023;0
